CUSEC;Nivel;NOTA1;vivienda_turistica;unidad1;nota2;plazas;unidad2;nota3;plazas_por_vivienda_turistica;unidad3;nota4;Porcentaje_vivienda_turistica;UNIDAD4;PERIODO;PROV;PROV_LITERAL;MUN;MUN_LITERAL
0100101001;Secciones;;1;Viviendas;;8;Plazas;;8;Plazas;;0,158730159;Porcentaje;2025M11;01;Araba/Alava;01001;Alegria-Dulantzi
0100101002;Secciones;;0;Viviendas;;0;Plazas;Area sin viviendas turisticas. No se proporciona el dato por carecer de sentido.;;Plazas;;0;Porcentaje;2025M11;01;Araba/Alava;01001;Alegria-Dulantzi
0100201005;Secciones;;0;Viviendas;;0;Plazas;Area sin viviendas turisticas. No se proporciona el dato por carecer de sentido.;;Plazas;;0;Porcentaje;2025M11;01;Araba/Alava;01002;Amurrio
0100201002;Secciones;;3;Viviendas;;17;Plazas;;5,666666667;Plazas;;0,362318841;Porcentaje;2025M11;01;Araba/Alava;01002;Amurrio
0100201006;Secciones;;0;Viviendas;;0;Plazas;Area sin viviendas turisticas. No se proporciona el dato por carecer de sentido.;;Plazas;;0;Porcentaje;2025M11;01;Araba/Alava;01002;Amurrio
0100201003;Secciones;;0;Viviendas;;0;Plazas;Area sin viviendas turisticas. No se proporciona el dato por carecer de sentido.;;Plazas;;0;Porcentaje;2025M11;01;Araba/Alava;01002;Amurrio
0100201004;Secciones;;0;Viviendas;;0;Plazas;Area sin viviendas turisticas. No se proporciona el dato por carecer de sentido.;;Plazas;;0;Porcentaje;2025M11;01;Araba/Alava;01002;Amurrio
0100201001;Secciones;;6;Viviendas;;36;Plazas;;6;Plazas;;0,628930818;Porcentaje;2025M11;01;Araba/Alava;01002;Amurrio
0100201007;Secciones;;0;Viviendas;;0;Plazas;Area sin viviendas turisticas. No se proporciona el dato por carecer de sentido.;;Plazas;;0;Porcentaje;2025M11;01;Araba/Alava;01002;Amurrio
0100301001;Secciones;;4;Viviendas;;20;Plazas;;5;Plazas;;0,549450549;Porcentaje;2025M11;01;Araba/Alava;01003;Aramaio
0100401001;Secciones;;0;Viviendas;;0;Plazas;Area sin viviendas turisticas. No se proporciona el dato por carecer de sentido.;;Plazas;;0;Porcentaje;2025M11;01;Araba/Alava;01004;Artziniega
0100601001;Secciones;;2;Viviendas;;12;Plazas;;6;Plazas;;1,234567901;Porcentaje;2025M11;01;Araba/Alava;01006;Arminon
0100801001;Secciones;;2;Viviendas;;6;Plazas;;3;Plazas;;0,36900369;Porcentaje;2025M11;01;Araba/Alava;01008;Arratzua-Ubarrundia
0100901001;Secciones;;4;Viviendas;;22;Plazas;;5,5;Plazas;;0,355239787;Porcentaje;2025M11;01;Araba/Alava;01009;Asparrena
0101001001;Secciones;;5;Viviendas;;25;Plazas;;5;Plazas;;0,5192108;Porcentaje;2025M11;01;Araba/Alava;01010;Ayala/Aiara
0101001002;Secciones;;1;Viviendas;;14;Plazas;;14;Plazas;;0,171232877;Porcentaje;2025M11;01;Araba/Alava;01010;Ayala/Aiara
0101101001;Secciones;;2;Viviendas;;11;Plazas;;5,5;Plazas;;0,806451613;Porcentaje;2025M11;01;Araba/Alava;01011;Banos de Ebro/Manueta
0101301001;Secciones;;0;Viviendas;;0;Plazas;Area sin viviendas turisticas. No se proporciona el dato por carecer de sentido.;;Plazas;;0;Porcentaje;2025M11;01;Araba/Alava;01013;Barrundia
0101401001;Secciones;;0;Viviendas;;0;Plazas;Area sin viviendas turisticas. No se proporciona el dato por carecer de sentido.;;Plazas;;0;Porcentaje;2025M11;01;Araba/Alava;01014;Berantevilla
0101601001;Secciones;;1;Viviendas;;9;Plazas;;9;Plazas;;0,162074554;Porcentaje;2025M11;01;Araba/Alava;01016;Bernedo
0101701001;Secciones;;8;Viviendas;;38;Plazas;;4,75;Plazas;;0,829875519;Porcentaje;2025M11;01;Araba/Alava;01017;Campezo/Kanpezu
0101801001;Secciones;;5;Viviendas;;17;Plazas;;3,4;Plazas;;0,512295082;Porcentaje;2025M11;01;Araba/Alava;01018;Zigoitia
0101901001;Secciones;;1;Viviendas;;14;Plazas;;14;Plazas;;0,709219858;Porcentaje;2025M11;01;Araba/Alava;01019;Kripan
0102001001;Secciones;;1;Viviendas;;8;Plazas;;8;Plazas;;0,303951368;Porcentaje;2025M11;01;Araba/Alava;01020;Kuartango
0102101001;Secciones;;3;Viviendas;;10;Plazas;;3,333333333;Plazas;;1,023890785;Porcentaje;2025M11;01;Araba/Alava;01021;Elburgo/Burgelu
0102201001;Secciones;;5;Viviendas;;34;Plazas;;6,8;Plazas;;0,611995104;Porcentaje;2025M11;01;Araba/Alava;01022;Elciego
0102301001;Secciones;;0;Viviendas;;0;Plazas;Area sin viviendas turisticas. No se proporciona el dato por carecer de sentido.;;Plazas;;0;Porcentaje;2025M11;01;Araba/Alava;01023;Elvillar/Bilar
0102701001;Secciones;;1;Viviendas;;2;Plazas;;2;Plazas;;0,33557047;Porcentaje;2025M11;01;Araba/Alava;01027;Iruraiz-Gauna
0102801001;Secciones;;5;Viviendas;;25;Plazas;;5;Plazas;;0,25733402;Porcentaje;2025M11;01;Araba/Alava;01028;Labastida/Bastida
0103001001;Secciones;;0;Viviendas;;0;Plazas;Area sin viviendas turisticas. No se proporciona el dato por carecer de sentido.;;Plazas;;0;Porcentaje;2025M11;01;Araba/Alava;01030;Lagran
0103101001;Secciones;;22;Viviendas;;106;Plazas;;4,818181818;Plazas;;1,6;Porcentaje;2025M11;01;Araba/Alava;01031;Laguardia
0103201001;Secciones;;7;Viviendas;;42;Plazas;;6;Plazas;;1,043219076;Porcentaje;2025M11;01;Araba/Alava;01032;Lanciego/Lantziego
0103301001;Secciones;;5;Viviendas;;21;Plazas;;4,2;Plazas;;0,786163522;Porcentaje;2025M11;01;Araba/Alava;01033;Lapuebla de Labarca
0103401001;Secciones;;4;Viviendas;;28;Plazas;;7;Plazas;;1,454545455;Porcentaje;2025M11;01;Araba/Alava;01034;Leza
0103601007;Secciones;;0;Viviendas;;0;Plazas;Area sin viviendas turisticas. No se proporciona el dato por carecer de sentido.;;Plazas;;0;Porcentaje;2025M11;01;Araba/Alava;01036;Laudio/Llodio
0103601008;Secciones;;0;Viviendas;;0;Plazas;Area sin viviendas turisticas. No se proporciona el dato por carecer de sentido.;;Plazas;;0;Porcentaje;2025M11;01;Araba/Alava;01036;Laudio/Llodio
0103601003;Secciones;;1;Viviendas;;5;Plazas;;5;Plazas;;0,129366106;Porcentaje;2025M11;01;Araba/Alava;01036;Laudio/Llodio
0103601010;Secciones;;0;Viviendas;;0;Plazas;Area sin viviendas turisticas. No se proporciona el dato por carecer de sentido.;;Plazas;;0;Porcentaje;2025M11;01;Araba/Alava;01036;Laudio/Llodio
0103601004;Secciones;;0;Viviendas;;0;Plazas;Area sin viviendas turisticas. No se proporciona el dato por carecer de sentido.;;Plazas;;0;Porcentaje;2025M11;01;Araba/Alava;01036;Laudio/Llodio
0103601011;Secciones;;2;Viviendas;;12;Plazas;;6;Plazas;;0,498753117;Porcentaje;2025M11;01;Araba/Alava;01036;Laudio/Llodio
0103601002;Secciones;;1;Viviendas;;15;Plazas;;15;Plazas;;0,116959064;Porcentaje;2025M11;01;Araba/Alava;01036;Laudio/Llodio
0103601013;Secciones;;2;Viviendas;;8;Plazas;;4;Plazas;;0,373134328;Porcentaje;2025M11;01;Araba/Alava;01036;Laudio/Llodio
0103601006;Secciones;;0;Viviendas;;0;Plazas;Area sin viviendas turisticas. No se proporciona el dato por carecer de sentido.;;Plazas;;0;Porcentaje;2025M11;01;Araba/Alava;01036;Laudio/Llodio
0103601009;Secciones;;3;Viviendas;;18;Plazas;;6;Plazas;;0,405953992;Porcentaje;2025M11;01;Araba/Alava;01036;Laudio/Llodio
0103601001;Secciones;;0;Viviendas;;0;Plazas;Area sin viviendas turisticas. No se proporciona el dato por carecer de sentido.;;Plazas;;0;Porcentaje;2025M11;01;Araba/Alava;01036;Laudio/Llodio
0103601005;Secciones;;4;Viviendas;;16;Plazas;;4;Plazas;;0,414937759;Porcentaje;2025M11;01;Araba/Alava;01036;Laudio/Llodio
0103601012;Secciones;;0;Viviendas;;0;Plazas;Area sin viviendas turisticas. No se proporciona el dato por carecer de sentido.;;Plazas;;0;Porcentaje;2025M11;01;Araba/Alava;01036;Laudio/Llodio
0103701001;Secciones;;6;Viviendas;;42;Plazas;;7;Plazas;;0,916030534;Porcentaje;2025M11;01;Araba/Alava;01037;Arraia-Maeztu
0103901001;Secciones;;1;Viviendas;;8;Plazas;;8;Plazas;;0,462962963;Porcentaje;2025M11;01;Araba/Alava;01039;Moreda de Alava/Moreda Araba
0104101001;Secciones;;1;Viviendas;;8;Plazas;;8;Plazas;;0,591715976;Porcentaje;2025M11;01;Araba/Alava;01041;Navaridas
0104201001;Secciones;;0;Viviendas;;0;Plazas;Area sin viviendas turisticas. No se proporciona el dato por carecer de sentido.;;Plazas;;0;Porcentaje;2025M11;01;Araba/Alava;01042;Okondo
0104301001;Secciones;;0;Viviendas;;0;Plazas;Area sin viviendas turisticas. No se proporciona el dato por carecer de sentido.;;Plazas;;0;Porcentaje;2025M11;01;Araba/Alava;01043;Oyon-Oion
0104301002;Secciones;;4;Viviendas;;31;Plazas;;7,75;Plazas;;0,339558574;Porcentaje;2025M11;01;Araba/Alava;01043;Oyon-Oion
0104401001;Secciones;;0;Viviendas;;0;Plazas;Area sin viviendas turisticas. No se proporciona el dato por carecer de sentido.;;Plazas;;0;Porcentaje;2025M11;01;Araba/Alava;01044;Penacerrada-Urizaharra
0104601001;Secciones;;4;Viviendas;;24;Plazas;;6;Plazas;;0,676818951;Porcentaje;2025M11;01;Araba/Alava;01046;Erriberagoitia/Ribera Alta
0104701001;Secciones;;0;Viviendas;;0;Plazas;Area sin viviendas turisticas. No se proporciona el dato por carecer de sentido.;;Plazas;;0;Porcentaje;2025M11;01;Araba/Alava;01047;Ribera Baja/Erriberabeitia
0104901001;Secciones;;0;Viviendas;;0;Plazas;Area sin viviendas turisticas. No se proporciona el dato por carecer de sentido.;;Plazas;;0;Porcentaje;2025M11;01;Araba/Alava;01049;Anana
0105101002;Secciones;;0;Viviendas;;0;Plazas;Area sin viviendas turisticas. No se proporciona el dato por carecer de sentido.;;Plazas;;0;Porcentaje;2025M11;01;Araba/Alava;01051;Agurain/Salvatierra
0105101003;Secciones;;1;Viviendas;;3;Plazas;;3;Plazas;;0,137362637;Porcentaje;2025M11;01;Araba/Alava;01051;Agurain/Salvatierra
0105101001;Secciones;;0;Viviendas;;0;Plazas;Area sin viviendas turisticas. No se proporciona el dato por carecer de sentido.;;Plazas;;0;Porcentaje;2025M11;01;Araba/Alava;01051;Agurain/Salvatierra
0105201001;Secciones;;5;Viviendas;;28;Plazas;;5,6;Plazas;;2,183406114;Porcentaje;2025M11;01;Araba/Alava;01052;Samaniego
0105301001;Secciones;;4;Viviendas;;24;Plazas;;6;Plazas;;0,824742268;Porcentaje;2025M11;01;Araba/Alava;01053;San Millan/Donemiliaga
0105401001;Secciones;;4;Viviendas;;22;Plazas;;5,5;Plazas;;0,442967885;Porcentaje;2025M11;01;Araba/Alava;01054;Urkabustaiz
0105501001;Secciones;;4;Viviendas;;23;Plazas;;5,75;Plazas;;0,322061192;Porcentaje;2025M11;01;Araba/Alava;01055;Valdegovia/Gaubea
0105601001;Secciones;;2;Viviendas;;34;Plazas;;17;Plazas;;0,74906367;Porcentaje;2025M11;01;Araba/Alava;01056;Harana/Valle de Arana
0105701001;Secciones;;2;Viviendas;;16;Plazas;;8;Plazas;;0,735294118;Porcentaje;2025M11;01;Araba/Alava;01057;Villabuena de Alava/Eskuernaga
0105801001;Secciones;;3;Viviendas;;13;Plazas;;4,333333333;Plazas;;0,290416263;Porcentaje;2025M11;01;Araba/Alava;01058;Legutio
0105902037;Secciones;;0;Viviendas;;0;Plazas;Area sin viviendas turisticas. No se proporciona el dato por carecer de sentido.;;Plazas;;0;Porcentaje;2025M11;01;Araba/Alava;01059;Vitoria-Gasteiz
0105903005;Secciones;;0;Viviendas;;0;Plazas;Area sin viviendas turisticas. No se proporciona el dato por carecer de sentido.;;Plazas;;0;Porcentaje;2025M11;01;Araba/Alava;01059;Vitoria-Gasteiz
0105901004;Secciones;;3;Viviendas;;12;Plazas;;4;Plazas;;0,236034618;Porcentaje;2025M11;01;Araba/Alava;01059;Vitoria-Gasteiz
0105902028;Secciones;;1;Viviendas;;3;Plazas;;3;Plazas;;0,155279503;Porcentaje;2025M11;01;Araba/Alava;01059;Vitoria-Gasteiz
0105905021;Secciones;;0;Viviendas;;0;Plazas;Area sin viviendas turisticas. No se proporciona el dato por carecer de sentido.;;Plazas;;0;Porcentaje;2025M11;01;Araba/Alava;01059;Vitoria-Gasteiz
0105902036;Secciones;;0;Viviendas;;0;Plazas;Area sin viviendas turisticas. No se proporciona el dato por carecer de sentido.;;Plazas;;0;Porcentaje;2025M11;01;Araba/Alava;01059;Vitoria-Gasteiz
0105905039;Secciones;;0;Viviendas;;0;Plazas;Area sin viviendas turisticas. No se proporciona el dato por carecer de sentido.;;Plazas;;0;Porcentaje;2025M11;01;Araba/Alava;01059;Vitoria-Gasteiz
0105904016;Secciones;;0;Viviendas;;0;Plazas;Area sin viviendas turisticas. No se proporciona el dato por carecer de sentido.;;Plazas;;0;Porcentaje;2025M11;01;Araba/Alava;01059;Vitoria-Gasteiz
0105902041;Secciones;;2;Viviendas;;6;Plazas;;3;Plazas;;0,436681223;Porcentaje;2025M11;01;Araba/Alava;01059;Vitoria-Gasteiz
0105905033;Secciones;;0;Viviendas;;0;Plazas;Area sin viviendas turisticas. No se proporciona el dato por carecer de sentido.;;Plazas;;0;Porcentaje;2025M11;01;Araba/Alava;01059;Vitoria-Gasteiz
0105905036;Secciones;;0;Viviendas;;0;Plazas;Area sin viviendas turisticas. No se proporciona el dato por carecer de sentido.;;Plazas;;0;Porcentaje;2025M11;01;Araba/Alava;01059;Vitoria-Gasteiz
0105902023;Secciones;;0;Viviendas;;0;Plazas;Area sin viviendas turisticas. No se proporciona el dato por carecer de sentido.;;Plazas;;0;Porcentaje;2025M11;01;Araba/Alava;01059;Vitoria-Gasteiz
0105905030;Secciones;;1;Viviendas;;4;Plazas;;4;Plazas;;0,157977883;Porcentaje;2025M11;01;Araba/Alava;01059;Vitoria-Gasteiz
0105902015;Secciones;;0;Viviendas;;0;Plazas;Area sin viviendas turisticas. No se proporciona el dato por carecer de sentido.;;Plazas;;0;Porcentaje;2025M11;01;Araba/Alava;01059;Vitoria-Gasteiz
0105906003;Secciones;;2;Viviendas;;6;Plazas;;3;Plazas;;0,236686391;Porcentaje;2025M11;01;Araba/Alava;01059;Vitoria-Gasteiz
0105903026;Secciones;;3;Viviendas;;14;Plazas;;4,666666667;Plazas;;0,295857988;Porcentaje;2025M11;01;Araba/Alava;01059;Vitoria-Gasteiz
0105902030;Secciones;;0;Viviendas;;0;Plazas;Area sin viviendas turisticas. No se proporciona el dato por carecer de sentido.;;Plazas;;0;Porcentaje;2025M11;01;Araba/Alava;01059;Vitoria-Gasteiz
0105903030;Secciones;;1;Viviendas;;4;Plazas;;4;Plazas;;0,120627262;Porcentaje;2025M11;01;Araba/Alava;01059;Vitoria-Gasteiz
0105903027;Secciones;;0;Viviendas;;0;Plazas;Area sin viviendas turisticas. No se proporciona el dato por carecer de sentido.;;Plazas;;0;Porcentaje;2025M11;01;Araba/Alava;01059;Vitoria-Gasteiz
0105904032;Secciones;;1;Viviendas;;2;Plazas;;2;Plazas;;0,139275766;Porcentaje;2025M11;01;Araba/Alava;01059;Vitoria-Gasteiz
0105902046;Secciones;;0;Viviendas;;0;Plazas;Area sin viviendas turisticas. No se proporciona el dato por carecer de sentido.;;Plazas;;0;Porcentaje;2025M11;01;Araba/Alava;01059;Vitoria-Gasteiz
0105905019;Secciones;;0;Viviendas;;0;Plazas;Area sin viviendas turisticas. No se proporciona el dato por carecer de sentido.;;Plazas;;0;Porcentaje;2025M11;01;Araba/Alava;01059;Vitoria-Gasteiz
0105904009;Secciones;;1;Viviendas;;4;Plazas;;4;Plazas;;0,1001001;Porcentaje;2025M11;01;Araba/Alava;01059;Vitoria-Gasteiz
0105902034;Secciones;;0;Viviendas;;0;Plazas;Area sin viviendas turisticas. No se proporciona el dato por carecer de sentido.;;Plazas;;0;Porcentaje;2025M11;01;Araba/Alava;01059;Vitoria-Gasteiz
0105904025;Secciones;;2;Viviendas;;7;Plazas;;3,5;Plazas;;0,140548138;Porcentaje;2025M11;01;Araba/Alava;01059;Vitoria-Gasteiz
0105905009;Secciones;;0;Viviendas;;0;Plazas;Area sin viviendas turisticas. No se proporciona el dato por carecer de sentido.;;Plazas;;0;Porcentaje;2025M11;01;Araba/Alava;01059;Vitoria-Gasteiz
0105901027;Secciones;;0;Viviendas;;0;Plazas;Area sin viviendas turisticas. No se proporciona el dato por carecer de sentido.;;Plazas;;0;Porcentaje;2025M11;01;Araba/Alava;01059;Vitoria-Gasteiz
0105904022;Secciones;;0;Viviendas;;0;Plazas;Area sin viviendas turisticas. No se proporciona el dato por carecer de sentido.;;Plazas;;0;Porcentaje;2025M11;01;Araba/Alava;01059;Vitoria-Gasteiz
0105905022;Secciones;;0;Viviendas;;0;Plazas;Area sin viviendas turisticas. No se proporciona el dato por carecer de sentido.;;Plazas;;0;Porcentaje;2025M11;01;Araba/Alava;01059;Vitoria-Gasteiz
0105901017;Secciones;;1;Viviendas;;4;Plazas;;4;Plazas;;0,100806452;Porcentaje;2025M11;01;Araba/Alava;01059;Vitoria-Gasteiz
0105902043;Secciones;;0;Viviendas;;0;Plazas;Area sin viviendas turisticas. No se proporciona el dato por carecer de sentido.;;Plazas;;0;Porcentaje;2025M11;01;Araba/Alava;01059;Vitoria-Gasteiz
0105902019;Secciones;;1;Viviendas;;4;Plazas;;4;Plazas;;0,13368984;Porcentaje;2025M11;01;Araba/Alava;01059;Vitoria-Gasteiz
0105903002;Secciones;;1;Viviendas;;5;Plazas;;5;Plazas;;0,163934426;Porcentaje;2025M11;01;Araba/Alava;01059;Vitoria-Gasteiz
0105902032;Secciones;;0;Viviendas;;0;Plazas;Area sin viviendas turisticas. No se proporciona el dato por carecer de sentido.;;Plazas;;0;Porcentaje;2025M11;01;Araba/Alava;01059;Vitoria-Gasteiz
0105902021;Secciones;;0;Viviendas;;0;Plazas;Area sin viviendas turisticas. No se proporciona el dato por carecer de sentido.;;Plazas;;0;Porcentaje;2025M11;01;Araba/Alava;01059;Vitoria-Gasteiz
0105905032;Secciones;;0;Viviendas;;0;Plazas;Area sin viviendas turisticas. No se proporciona el dato por carecer de sentido.;;Plazas;;0;Porcentaje;2025M11;01;Araba/Alava;01059;Vitoria-Gasteiz
0105905028;Secciones;;2;Viviendas;;7;Plazas;;3,5;Plazas;;0,278940028;Porcentaje;2025M11;01;Araba/Alava;01059;Vitoria-Gasteiz
0105905013;Secciones;;0;Viviendas;;0;Plazas;Area sin viviendas turisticas. No se proporciona el dato por carecer de sentido.;;Plazas;;0;Porcentaje;2025M11;01;Araba/Alava;01059;Vitoria-Gasteiz
0105905027;Secciones;;0;Viviendas;;0;Plazas;Area sin viviendas turisticas. No se proporciona el dato por carecer de sentido.;;Plazas;;0;Porcentaje;2025M11;01;Araba/Alava;01059;Vitoria-Gasteiz
0105903013;Secciones;;0;Viviendas;;0;Plazas;Area sin viviendas turisticas. No se proporciona el dato por carecer de sentido.;;Plazas;;0;Porcentaje;2025M11;01;Araba/Alava;01059;Vitoria-Gasteiz
0105902010;Secciones;;0;Viviendas;;0;Plazas;Area sin viviendas turisticas. No se proporciona el dato por carecer de sentido.;;Plazas;;0;Porcentaje;2025M11;01;Araba/Alava;01059;Vitoria-Gasteiz
0105905006;Secciones;;0;Viviendas;;0;Plazas;Area sin viviendas turisticas. No se proporciona el dato por carecer de sentido.;;Plazas;;0;Porcentaje;2025M11;01;Araba/Alava;01059;Vitoria-Gasteiz
0105902035;Secciones;;4;Viviendas;;16;Plazas;;4;Plazas;;0,424178155;Porcentaje;2025M11;01;Araba/Alava;01059;Vitoria-Gasteiz
0105902025;Secciones;;0;Viviendas;;0;Plazas;Area sin viviendas turisticas. No se proporciona el dato por carecer de sentido.;;Plazas;;0;Porcentaje;2025M11;01;Araba/Alava;01059;Vitoria-Gasteiz
0105902027;Secciones;;0;Viviendas;;0;Plazas;Area sin viviendas turisticas. No se proporciona el dato por carecer de sentido.;;Plazas;;0;Porcentaje;2025M11;01;Araba/Alava;01059;Vitoria-Gasteiz
0105901010;Secciones;;4;Viviendas;;12;Plazas;;3;Plazas;;0,432900433;Porcentaje;2025M11;01;Araba/Alava;01059;Vitoria-Gasteiz
0105904004;Secciones;;4;Viviendas;;18;Plazas;;4,5;Plazas;;0,64516129;Porcentaje;2025M11;01;Araba/Alava;01059;Vitoria-Gasteiz
0105905008;Secciones;;0;Viviendas;;0;Plazas;Area sin viviendas turisticas. No se proporciona el dato por carecer de sentido.;;Plazas;;0;Porcentaje;2025M11;01;Araba/Alava;01059;Vitoria-Gasteiz
0105904008;Secciones;;0;Viviendas;;0;Plazas;Area sin viviendas turisticas. No se proporciona el dato por carecer de sentido.;;Plazas;;0;Porcentaje;2025M11;01;Araba/Alava;01059;Vitoria-Gasteiz
0105904012;Secciones;;1;Viviendas;;4;Plazas;;4;Plazas;;0,127388535;Porcentaje;2025M11;01;Araba/Alava;01059;Vitoria-Gasteiz
0105905038;Secciones;;0;Viviendas;;0;Plazas;Area sin viviendas turisticas. No se proporciona el dato por carecer de sentido.;;Plazas;;0;Porcentaje;2025M11;01;Araba/Alava;01059;Vitoria-Gasteiz
0105902026;Secciones;;0;Viviendas;;0;Plazas;Area sin viviendas turisticas. No se proporciona el dato por carecer de sentido.;;Plazas;;0;Porcentaje;2025M11;01;Araba/Alava;01059;Vitoria-Gasteiz
0105905037;Secciones;;0;Viviendas;;0;Plazas;Area sin viviendas turisticas. No se proporciona el dato por carecer de sentido.;;Plazas;;0;Porcentaje;2025M11;01;Araba/Alava;01059;Vitoria-Gasteiz
0105901026;Secciones;;0;Viviendas;;0;Plazas;Area sin viviendas turisticas. No se proporciona el dato por carecer de sentido.;;Plazas;;0;Porcentaje;2025M11;01;Araba/Alava;01059;Vitoria-Gasteiz
0105902047;Secciones;;0;Viviendas;;0;Plazas;Area sin viviendas turisticas. No se proporciona el dato por carecer de sentido.;;Plazas;;0;Porcentaje;2025M11;01;Araba/Alava;01059;Vitoria-Gasteiz
0105904021;Secciones;;0;Viviendas;;0;Plazas;Area sin viviendas turisticas. No se proporciona el dato por carecer de sentido.;;Plazas;;0;Porcentaje;2025M11;01;Araba/Alava;01059;Vitoria-Gasteiz
0105903038;Secciones;;0;Viviendas;;0;Plazas;Area sin viviendas turisticas. No se proporciona el dato por carecer de sentido.;;Plazas;;0;Porcentaje;2025M11;01;Araba/Alava;01059;Vitoria-Gasteiz
0105904018;Secciones;;1;Viviendas;;4;Plazas;;4;Plazas;;0,213219616;Porcentaje;2025M11;01;Araba/Alava;01059;Vitoria-Gasteiz
0105903019;Secciones;;0;Viviendas;;0;Plazas;Area sin viviendas turisticas. No se proporciona el dato por carecer de sentido.;;Plazas;;0;Porcentaje;2025M11;01;Araba/Alava;01059;Vitoria-Gasteiz
0105901037;Secciones;;0;Viviendas;;0;Plazas;Area sin viviendas turisticas. No se proporciona el dato por carecer de sentido.;;Plazas;;0;Porcentaje;2025M11;01;Araba/Alava;01059;Vitoria-Gasteiz
0105902001;Secciones;;0;Viviendas;;0;Plazas;Area sin viviendas turisticas. No se proporciona el dato por carecer de sentido.;;Plazas;;0;Porcentaje;2025M11;01;Araba/Alava;01059;Vitoria-Gasteiz
0105904019;Secciones;;0;Viviendas;;0;Plazas;Area sin viviendas turisticas. No se proporciona el dato por carecer de sentido.;;Plazas;;0;Porcentaje;2025M11;01;Araba/Alava;01059;Vitoria-Gasteiz
0105901025;Secciones;;2;Viviendas;;8;Plazas;;4;Plazas;;0,265957447;Porcentaje;2025M11;01;Araba/Alava;01059;Vitoria-Gasteiz
0105905031;Secciones;;0;Viviendas;;0;Plazas;Area sin viviendas turisticas. No se proporciona el dato por carecer de sentido.;;Plazas;;0;Porcentaje;2025M11;01;Araba/Alava;01059;Vitoria-Gasteiz
0105905001;Secciones;;1;Viviendas;;1;Plazas;;1;Plazas;;0,237529691;Porcentaje;2025M11;01;Araba/Alava;01059;Vitoria-Gasteiz
0105901039;Secciones;;0;Viviendas;;0;Plazas;Area sin viviendas turisticas. No se proporciona el dato por carecer de sentido.;;Plazas;;0;Porcentaje;2025M11;01;Araba/Alava;01059;Vitoria-Gasteiz
0105904005;Secciones;;2;Viviendas;;8;Plazas;;4;Plazas;;0,309119011;Porcentaje;2025M11;01;Araba/Alava;01059;Vitoria-Gasteiz
0105905017;Secciones;;0;Viviendas;;0;Plazas;Area sin viviendas turisticas. No se proporciona el dato por carecer de sentido.;;Plazas;;0;Porcentaje;2025M11;01;Araba/Alava;01059;Vitoria-Gasteiz
0105902048;Secciones;;0;Viviendas;;0;Plazas;Area sin viviendas turisticas. No se proporciona el dato por carecer de sentido.;;Plazas;;0;Porcentaje;2025M11;01;Araba/Alava;01059;Vitoria-Gasteiz
0105901021;Secciones;;1;Viviendas;;4;Plazas;;4;Plazas;;0,091074681;Porcentaje;2025M11;01;Araba/Alava;01059;Vitoria-Gasteiz
0105902012;Secciones;;0;Viviendas;;0;Plazas;Area sin viviendas turisticas. No se proporciona el dato por carecer de sentido.;;Plazas;;0;Porcentaje;2025M11;01;Araba/Alava;01059;Vitoria-Gasteiz
0105903035;Secciones;;0;Viviendas;;0;Plazas;Area sin viviendas turisticas. No se proporciona el dato por carecer de sentido.;;Plazas;;0;Porcentaje;2025M11;01;Araba/Alava;01059;Vitoria-Gasteiz
0105901033;Secciones;;0;Viviendas;;0;Plazas;Area sin viviendas turisticas. No se proporciona el dato por carecer de sentido.;;Plazas;;0;Porcentaje;2025M11;01;Araba/Alava;01059;Vitoria-Gasteiz
0105902014;Secciones;;0;Viviendas;;0;Plazas;Area sin viviendas turisticas. No se proporciona el dato por carecer de sentido.;;Plazas;;0;Porcentaje;2025M11;01;Araba/Alava;01059;Vitoria-Gasteiz
0105906002;Secciones;;1;Viviendas;;5;Plazas;;5;Plazas;;0,109051254;Porcentaje;2025M11;01;Araba/Alava;01059;Vitoria-Gasteiz
0105903041;Secciones;;1;Viviendas;;4;Plazas;;4;Plazas;;0,088495575;Porcentaje;2025M11;01;Araba/Alava;01059;Vitoria-Gasteiz
0105901008;Secciones;;4;Viviendas;;12;Plazas;;3;Plazas;;0,687285223;Porcentaje;2025M11;01;Araba/Alava;01059;Vitoria-Gasteiz
0105901023;Secciones;;3;Viviendas;;10;Plazas;;3,333333333;Plazas;;0,297029703;Porcentaje;2025M11;01;Araba/Alava;01059;Vitoria-Gasteiz
0105902003;Secciones;;0;Viviendas;;0;Plazas;Area sin viviendas turisticas. No se proporciona el dato por carecer de sentido.;;Plazas;;0;Porcentaje;2025M11;01;Araba/Alava;01059;Vitoria-Gasteiz
0105905026;Secciones;;0;Viviendas;;0;Plazas;Area sin viviendas turisticas. No se proporciona el dato por carecer de sentido.;;Plazas;;0;Porcentaje;2025M11;01;Araba/Alava;01059;Vitoria-Gasteiz
0105902005;Secciones;;0;Viviendas;;0;Plazas;Area sin viviendas turisticas. No se proporciona el dato por carecer de sentido.;;Plazas;;0;Porcentaje;2025M11;01;Araba/Alava;01059;Vitoria-Gasteiz
0105903021;Secciones;;0;Viviendas;;0;Plazas;Area sin viviendas turisticas. No se proporciona el dato por carecer de sentido.;;Plazas;;0;Porcentaje;2025M11;01;Araba/Alava;01059;Vitoria-Gasteiz
